;;
Ценовая группа/ Номенклатура/ Характеристика номенклатуры;Артикул;Цена
;;
            Колесо аппаратное  50 мм ( MKT 50 ), диск-полипропилен;MKT 50;0,31
            Колесо аппаратное неповоротное  50 мм ( EP02 MKT 50 ), диск-полипропилен;EP02-MKT-50;0,66
            Колесо аппаратное неповоротное  75 мм ( EP02 MKT 75 ), диск-полипропилен;EP02-MKT-75;1,36
            Колесо аппаратное неповоротное 100 мм ( EP02 MKT 100 ), диск-полипропилен;EP02-MKT-100;1,60
            Колесо аппаратное поворотное  50 мм ( EP01 MKT 50 ), диск-полипропилен;EP01-MKT-50;1,35
            Колесо аппаратное поворотное  75 мм ( EP01 MKT 75 ), диск-полипропилен;EP01-MKT-75;2,01
            Колесо аппаратное поворотное 100 мм ( EP01 MKT 100 ), диск-полипропилен;EP01-MKT-100;2,38
            Колесо аппаратное под болт М10 50 мм ( ET04 MKT 50 ), диск-полипропилен;ET04-MKT-50;2,02
            Колесо аппаратное под болт М10 75 мм ( ET04 MKT 75 ), диск-полипропилен;ET04-MKT-75;3,15
            Колесо аппаратное сдвоенное болт М10 50 мм ( ET05 MKT 50 ), диск-полипропилен;ET05-MKT-50;1,91
            Колесо аппаратное сдвоенное поворотное  50 мм ( ET01 MKT 50 ), диск-полипропилен;ET01-MKT-50;2,08
            Колесо аппаратное сдвоенное поворотное  75 мм ( ET01 MKT 75 ), диск-полипропилен;ET01-MKT-75;3,61
            Колесо аппаратное сдвоенное поворотное с тормозом 50 мм ( ET01 MKT 50 F ), диск-полипропилен;ET01-MKT-50-F;2,83
            Колесо аппаратное сдвоенное поворотное с тормозом 75 мм ( ET01 MKT 75 F ), диск-полипропилен;ET01-MKT-75-F;3,98
            Колесо большегрузное обрезиненное неповоротное  80 мм ( ED02 VBR 80 ), диск-чугун;ED02-VBR-80;12,41
            Колесо большегрузное обрезиненное неповоротное 100 мм ( ED02 VBR 100 ), диск-чугун;ED02-VBR-100;18,08
            Колесо большегрузное обрезиненное неповоротное 125 мм ( ED02 VBR 125 ), диск-чугун;ED02-VBR-125;22,53
            Колесо большегрузное обрезиненное неповоротное 150 мм ( ED02 VBR 150 ), диск-чугун;ED02-VBR-150;24,07
            Колесо большегрузное обрезиненное неповоротное 200 мм ( ED02 VBR 200 ), диск-чугун;ED02-VBR-200;37,54
            Колесо большегрузное обрезиненное поворотное  80 мм ( ED01 VBR 80 ), диск-чугун;ED01-VBR-80;15,02
            Колесо большегрузное обрезиненное поворотное 100 мм ( ED01 VBR 100 ), диск-чугун;ED01-VBR-100;21,80
            Колесо большегрузное обрезиненное поворотное 125 мм ( ED01 VBR 125 ), диск-чугун;ED01-VBR-125;26,40
            Колесо большегрузное обрезиненное поворотное 150 мм ( ED01 VBR 150 ), диск-чугун;ED01-VBR-150;31,54
            Колесо большегрузное обрезиненное поворотное 200 мм ( ED01 VBR 200 ), диск-чугун;ED01-VBR-200;44,90
            Колесо большегрузное обрезиненное поворотное с тормозом  80 мм ( ED01 VBR 80 F ), диск-чугун;ED01-VBR-80-F;18,44
            Колесо большегрузное обрезиненное поворотное с тормозом 100 мм ( ED01 VBR 100 F ), диск-чугун;ED01-VBR-100-F;25,22
            Колесо большегрузное обрезиненное поворотное с тормозом 125 мм ( ED01 VBR 125 F ), диск-чугун;ED01-VBR-125-F;29,82
            Колесо большегрузное обрезиненное поворотное с тормозом 150 мм ( ED01 VBR 150 F ), диск-чугун;ED01-VBR-150-F;34,72
            Колесо большегрузное обрезиненное поворотное с тормозом 200 мм ( ED01 VBR 200 F ), диск-чугун;ED01-VBR-200-F;48,32
            Колесо полиуретановое 100 мм ( ZBP 100 ED ), диск-полиамид;ZBP-100;6,26
            Колесо полиуретановое 125 мм ( ZBP 125 ED ), диск-полиамид;ZBP-125;8,24
            Колесо полиуретановое 150 мм ( ZBP 150 ED ), диск-полиамид;ZBP-150;10,02
            Колесо полиуретановое 200 мм ( ZBP 200 ED ), диск-полиамид;ZBP-200;16,34
            Колесо полиуретановое неповоротное 100 мм ( ED02 VBP 100 ), диск-чугун;ED02-VBP-100;19,66
            Колесо полиуретановое неповоротное 125 мм ( ED02 VBP 125 ), диск-чугун;ED02-VBP-125;26,80
            Колесо полиуретановое неповоротное 150 мм ( ED02 VBP 150 ), диск-чугун;ED02-VBP-150;32,95
            Колесо полиуретановое неповоротное 200 мм ( ED02 VBP 200 ), диск-чугун;ED02-VBP-200;47,31
            Колесо полиуретановое поворотное 100 мм ( ED01 VBP 100 ), диск-чугун;ED01-VBP-100;23,38
            Колесо полиуретановое поворотное 125 мм ( ED01 VBP 125 ), диск-чугун;ED01-VBP-125;30,68
            Колесо полиуретановое поворотное 150 мм ( ED01 VBP 150 ), диск-чугун;ED01-VBP-150;40,40
            Колесо полиуретановое поворотное 200 мм ( ED01 VBP 200 ), диск-чугун;ED01-VBP-200;54,66
            Колесо полиуретановое поворотное с тормозом 100 мм ( ED01 VBP 100 F ), диск-чугун;ED01-VBP-100-F;26,80
            Колесо полиуретановое поворотное с тормозом 125 мм ( ED01 VBP 125 F ), диск-чугун;ED01-VBP-125-F;34,10
            Колесо полиуретановое поворотное с тормозом 150 мм ( ED01 VBP 150 F ), диск-чугун;ED01-VBP-150-F;43,59
            Колесо полиуретановое поворотное с тормозом 200 мм ( ED01 VBP 200 F ), диск-чугун;ED01-VBP-200-F;57,87
            Колесо полиуретановое сдвоенное поворотное 250 мм ( EW01 VBP 250 ), диск-чугун;EW01-VBP-250;242,00
            Колесо полиуретановое сдвоенное поворотное 350 мм ( EW01 VBP 350 ), диск-чугун;EW01-VBP-350;448,16
            Колесо полиуретановое сдвоенное поворотное с тормозом 250 мм ( EW01 VBP 250 F ), диск-чугун;EW01-VBP-250-F;308,02
            Колесо полиуретановое сдвоенное поворотное с тормозом 350 мм ( EW01 VBP 350 F ), диск-чугун;EW01-VBP-350-F;465,98
            Колесо свермощное полиуретановое неповоротное 100 мм ( ED02 ZBP 100 ), диск-полиамид;ED02-ZBP-100;12,30
            Колесо свермощное полиуретановое неповоротное 125 мм ( ED02 ZBP 125 ), диск-полиамид;ED02-ZBP-125;14,93
            Колесо свермощное полиуретановое неповоротное 150 мм ( ED02 ZBP 150 ), диск-полиамид;ED02-ZBP-150;16,69
            Колесо свермощное полиуретановое неповоротное 200 мм ( ED02 ZBP 200 ), диск-полиамид;ED02-ZBP-200;23,88
            Колесо свермощное полиуретановое поворотное 100 мм ( ED01 ZBP 100 ), диск-полиамид;ED01-ZBP-100;16,29
            Колесо свермощное полиуретановое поворотное 125 мм ( ED01 ZBP 125 ), диск-полиамид;ED01-ZBP-125;19,06
            Колесо свермощное полиуретановое поворотное 150 мм ( ED01 ZBP 150 ), диск-полиамид;ED01-ZBP-150;24,67
            Колесо свермощное полиуретановое поворотное 200 мм ( ED01 ZBP 200 ), диск-полиамид;ED01-ZBP-200;31,78
            Колесо свермощное полиуретановое поворотное 300 мм ( EV01 VBP 300 ), диск-чугун;EV01-VBP-300;185,42
            Колесо свермощное полиуретановое поворотное с тормозом 100 мм ( ED01 ZBP 100 F ), диск-полиамид;ED01-ZBP-100-F;19,95
            Колесо свермощное полиуретановое поворотное с тормозом 125 мм ( ED01 ZBP 125 F ), диск-полиамид;ED01-ZBP-125-F;22,73
            Колесо свермощное полиуретановое поворотное с тормозом 150 мм ( ED01 ZBP 150 F ), диск-полиамид;ED01-ZBP-150-F;28,12
            Колесо свермощное полиуретановое поворотное с тормозом 200 мм ( ED01 ZBP 200 F ), диск-полиамид;ED01-ZBP-200-F;35,20
            Колесо свермощное полиуретановое поворотное с тормозом 300 мм ( EV01 VBP 300 F ), диск-чугун;EV01-VBP-300-F;195,20
